c CS 4.6
c Commercial use requires a licence
c contact igsys@eclipse.net
c
c nodes:             405     arcs:             1603
c scale-factor:       12     cut-off-factor:   21.1
c
c time:             0.00     cost:          1615810
c refines:             2     discharges:       1871
c pushes:           3292     relabels:         1320
c updates:             4     u-scans:           443
c p-refines:           6     r-scans:          1188
c dfs-scans:        5265     bad-in:        0  +  0
c
s 1615810
f       1       2          1
f       1       3          1
f       1     204          1
f       1     206          1
f       1       5          1
f       1     208          1
f       1       6          1
f       1     210          1
f       1       7          1
f       1     212          1
f       1       8          1
f       1     214          1
f       1       9          1
f       1     216          1
f       1     218          1
f       1      11          1
f       1     220          1
f       1      12          1
f       1     222          1
f       1      13          1
f       1     224          1
f       1      14          1
f       1     226          1
f       1      15          1
f       1     228          1
f       1      16          1
f       1     230          1
f       1      17          1
f       1     232          1
f       1      18          1
f       1     234          1
f       1      19          1
f       1     236          1
f       1      20          1
f       1     238          1
f       1     240          1
f       1      22          1
f       1     242          1
f       1      23          1
f       1     244          1
f       1     246          1
f       1      25          1
f       1     248          1
f       1      26          1
f       1     250          1
f       1      27          1
f       1     252          1
f       1      28          1
f       1     254          1
f       1      29          1
f       1     256          1
f       1      30          1
f       1     258          1
f       1     260          1
f       1      32          1
f       1     262          1
f       1      33          1
f       1     264          1
f       1      35          1
f       1     268          1
f       1      36          1
f       1     270          1
f       1      37          1
f       1     272          1
f       1      38          1
f       1     274          1
f       1      39          1
f       1     276          1
f       1      40          1
f       1     278          1
f       1      41          1
f       1     280          1
f       1      42          1
f       1     282          1
f       1      43          1
f       1     284          1
f       1      44          1
f       1     286          1
f       1      45          1
f       1     288          1
f       1      46          1
f       1     290          1
f       1     292          1
f       1      48          1
f       1      49          1
f       1     296          1
f       1      50          1
f       1     298          1
f       1      51          1
f       1     300          1
f       1      52          1
f       1     302          1
f       1      53          1
f       1     304          1
f       1      54          1
f       1     306          1
f       1      55          1
f       1     308          1
f       1      56          1
f       1     310          1
f       1     312          1
f       1      58          1
f       1     314          1
f       1     316          1
f       1      60          1
f       1     318          1
f       1      61          1
f       1     322          1
f       1      63          1
f       1      64          1
f       1      65          1
f       1     328          1
f       1      66          1
f       1     330          1
f       1      67          1
